Formação de Professores com animações digitais em Stop Motion: Produções autorais na cultura digital;2018
O Uso das Metodologias Ativas na Educação;2019
Framework para caracterizar innovaciones sociales sobre sus procesos;2018
Narrativas Digitais na Formação de Educadores: Possibilidades de Autoria com o Podcast;2017
Barreiras, Elementos Dificultadores e Fatores Críticos na Implementação da Gestão do Conhecimento;2018
Diagnóstico de gestão do conhecimento: o caso de uma organização de pesquisa e desenvolvimento;2018
